gene	chromosome	arm
ENSG00000214141	1	p
ACTN4P2	1	p
ENSG00000227416	1	p
ENSG00000233728	1	p
ENSG00000235673	1	p
ENSG00000230955	1	p
INPP5B-AS1	1	p
ENSG00000252448	1	p
ENSG00000222282	1	p
RNU6-584P	1	p
ENSG00000243613	1	q
ENSG00000233222	1	q
ENSG00000291199	1	q
ENSG00000284895	1	p
ENSG00000287587	1	p
ENSG00000227538	1	p
HNRNPFP1	1	p
ENSG00000228776	1	p
ENSG00000306228	1	p
ENSG00000206652	1	p
RNU1-1	1	p
ENSG00000224174	1	p
ENSG00000233421	1	p
LINC01783	1	p
ENSG00000298308	1	p
ENSG00000302843	1	p
ENSG00000228549	1	p
LINC03126	1	p
ENSG00000238142	1	p
ENSG00000207005	1	p
RNU1-2	1	p
ENSG00000272426	1	p
ENSG00000290122	1	p
ENSG00000286898	1	p
ENSG00000271732	1	p
ENSG00000293920	1	p
ENSG00000293901	1	p
ENSG00000282143	1	p
ENSG00000207513	1	p
RNU1-3	1	p
ENSG00000290849	1	p
ENSG00000296694	1	p
ENSG00000279151	1	p
ENSG00000282740	1	p
ENSG00000290850	1	p
ENSG00000290851	1	p
ENSG00000207389	1	p
RNU1-4	1	p
ENSG00000200169	1	p
RNU5D-1	1	p
ENSG00000199347	1	p
RNU5E-1	1	p
ENSG00000199377	1	p
RNU5F-1	1	p
ENSG00000274978	1	p
RNU11	1	p
ENSG00000224409	1	p
ENSG00000304155	1	p
ENSG00000287691	1	p
ENSG00000298070	1	p
ENSG00000307336	1	p
ENSG00000309098	1	p
ENSG00000306105	1	p
ENSG00000264773	1	p
MIR4420	1	p
ENSG00000229607	1	p
ENSG00000223382	1	p
LINC01778	1	p
ENSG00000222784	1	p
RN7SKP91	1	p
ENSG00000235143	1	p
ENSG00000266210	1	p
RN7SL371P	1	p
ENSG00000310736	1	p
SNORD103A	1	p
ENSG00000310737	1	p
SNORD103B	1	p
ENSG00000310738	1	p
SNORD103C	1	p
ENSG00000237329	1	p
ENSG00000232768	1	p
ENSG00000215900	1	p
SELENOWP1	1	p
ENSG00000225142	1	p
RPL21P22	1	p
ENSG00000229447	1	p
ENSG00000225855	1	q
RUSC1-AS1	1	q
ENSG00000289426	1	q
ENSG00000296616	1	q
ENSG00000224977	1	q
RC3H1-DT	1	q
ENSG00000310740	1	q
ENSG00000232113	1	q
TEX50	1	q
ENSG00000225591	1	q
RPS27P7	1	q
ENSG00000310741	1	q
SNORD47	1	q
ENSG00000310742	1	q
SNORD80	1	q
ENSG00000310743	1	q
SNORD79	1	q
ENSG00000310744	1	q
SNORD78	1	q
ENSG00000310745	1	q
SNORD44	1	q
ENSG00000310746	1	q
SNORD77	1	q
ENSG00000310747	1	q
SNORD76	1	q
ENSG00000310748	1	q
SNORD75	1	q
ENSG00000310749	1	q
SNORD74	1	q
ENSG00000310739	1	q
SCARNA26A	1	q
ENSG00000277199	1	q
LINC01632	1	q
ENSG00000224363	1	q
ENSG00000305955	1	q
ENSG00000222854	1	q
RNA5SP59	1	q
ENSG00000288905	1	q
LSP1P5	1	q
ENSG00000302082	1	q
ENSG00000297406	1	q
ENSG00000290867	1	q
ENSG00000297370	1	q
ENSG00000297423	1	q
ENSG00000310772	1	q
ENSG00000299054	1	p
ENSG00000230053	1	p
ENSG00000274321	1	p
ENSG00000237959	1	p
RPL36AP10	1	p
ENSG00000310774	1	p
ENSG00000207234	1	p
RNU6-125P	1	p
ENSG00000241975	1	p
ELOCP19	1	p
ENSG00000235308	1	p
ENSG00000293455	1	q
ENSG00000287432	1	q
ENSG00000296425	1	q
ENSG00000305300	1	q
ENSG00000237605	1	q
DYRK3-AS1	1	q
ENSG00000302914	1	q
ENSG00000302948	1	q
ENSG00000310777	1	q
ENSG00000308327	1	p
ENSG00000310780	1	p
ENSG00000122432	1	p
SPATA1	1	p
ENSG00000271383	1	q
NBPF19	1	q
ENSG00000248485	1	q
PCP4L1	1	q
ENSG00000182183	1	p
SHISAL2A	1	p
ENSG00000162877	1	q
PM20D1	1	q
ENSG00000198842	1	q
STYXL2	1	q
ENSG00000142619	1	p
PADI3	1	p
ENSG00000298706	1	q
ENSG00000203785	1	q
SPRR2E	1	q
ENSG00000188800	1	p
TMCO2	1	p
ENSG00000131914	1	p
LIN28A	1	p
ENSG00000283360	1	q
ENSG00000294554	1	q
ENSG00000298116	1	q
ENSG00000310467	1	q
ENSG00000224515	1	q
ENSG00000310471	1	q
ENSG00000310476	1	q
ENSG00000310486	1	q
ENSG00000302307	1	q
ENSG00000301529	1	q
ENSG00000234211	1	q
ENSG00000293173	1	q
ENSG00000307516	1	q
ENSG00000226889	1	q
ATF6-DT	1	q
ENSG00000291233	1	q
ENSG00000020633	1	p
RUNX3	1	p
ENSG00000067334	1	p
DNTTIP2	1	p
ENSG00000121933	1	p
TMIGD3	1	p
ENSG00000250719	1	p
P3R3URF	1	p
ENSG00000155366	1	p
RHOC	1	p
ENSG00000174371	1	q
EXO1	1	q
ENSG00000189171	1	q
S100A13	1	q
ENSG00000188931	1	q
CFAP126	1	q
ENSG00000189433	1	p
GJB4	1	p
ENSG00000198815	1	p
FOXJ3	1	p
ENSG00000135750	1	q
KCNK1	1	q
ENSG00000137996	1	p
RTCA	1	p
ENSG00000163263	1	q
CFAP141	1	q
ENSG00000078900	1	p
TP73	1	p
ENSG00000197106	1	p
SLC6A17	1	p
ENSG00000188290	1	p
HES4	1	p
ENSG00000158715	1	q
SLC45A3	1	q
ENSG00000152760	1	p
DYNLT5	1	p
ENSG00000174567	1	q
GOLT1A	1	q
ENSG00000142937	1	p
RPS8	1	p
ENSG00000143376	1	q
SNX27	1	q
ENSG00000134201	1	p
GSTM5	1	p
ENSG00000142623	1	p
PADI1	1	p
ENSG00000122180	1	q
MYOG	1	q
ENSG00000054277	1	q
OPN3	1	q
ENSG00000142871	1	p
CCN1	1	p
ENSG00000157216	1	p
SSBP3	1	p
ENSG00000162745	1	q
OLFML2B	1	q
ENSG00000142677	1	p
IL22RA1	1	p
ENSG00000117748	1	p
RPA2	1	p
ENSG00000054116	1	p
TRAPPC3	1	p
ENSG00000175130	1	p
MARCKSL1	1	p
ENSG00000213064	1	q
SFT2D2	1	q
ENSG00000204006	1	p
C1orf185	1	p
ENSG00000134262	1	p
AP4B1	1	p
ENSG00000162426	1	p
SLC45A1	1	p
ENSG00000143507	1	q
DUSP10	1	q
ENSG00000097046	1	p
CDC7	1	p
ENSG00000117477	1	q
CCDC181	1	q
ENSG00000162398	1	p
CIMAP2	1	p
ENSG00000186007	1	q
LEMD1	1	q
ENSG00000162676	1	p
GFI1	1	p
ENSG00000118873	1	q
RAB3GAP2	1	q
ENSG00000158710	1	q
TAGLN2	1	q
ENSG00000162407	1	p
PLPP3	1	p
ENSG00000143751	1	q
SDE2	1	q
ENSG00000079739	1	p
PGM1	1	p
ENSG00000058673	1	q
ZC3H11A	1	q
ENSG00000065600	1	q
PACC1	1	q
ENSG00000134697	1	p
GNL2	1	p
ENSG00000213281	1	p
NRAS	1	p
ENSG00000184454	1	p
NCMAP	1	p
ENSG00000203965	1	p
EFCAB7	1	p
ENSG00000117394	1	p
SLC2A1	1	p
ENSG00000213190	1	q
MLLT11	1	q
ENSG00000183431	1	p
SF3A3	1	p
ENSG00000180488	1	p
MIGA1	1	p
ENSG00000184005	1	p
ST6GALNAC3	1	p
ENSG00000135870	1	q
RC3H1	1	q
ENSG00000116138	1	p
DNAJC16	1	p
ENSG00000066557	1	p
LRRC40	1	p
ENSG00000134183	1	p
GNAT2	1	p
ENSG00000162772	1	q
ATF3	1	q
ENSG00000120332	1	q
TNN	1	q
ENSG00000163131	1	q
CTSS	1	q
ENSG00000143590	1	q
EFNA3	1	q
ENSG00000173436	1	p
MICOS10	1	p
ENSG00000157077	1	p
ZFYVE9	1	p
ENSG00000185483	1	p
ROR1	1	p
ENSG00000171872	1	p
KLF17	1	p
ENSG00000157978	1	p
LDLRAP1	1	p
ENSG00000123689	1	q
G0S2	1	q
ENSG00000143032	1	p
BARHL2	1	p
ENSG00000169885	1	p
CALML6	1	p
ENSG00000143851	1	q
PTPN7	1	q
ENSG00000188585	1	q
CLEC20A	1	q
ENSG00000116761	1	p
CTH	1	p
ENSG00000172031	1	p
EPHX4	1	p
ENSG00000188770	1	q
OPTC	1	q
ENSG00000049245	1	p
VAMP3	1	p
ENSG00000009307	1	p
CSDE1	1	p
ENSG00000116667	1	q
C1orf21	1	q
ENSG00000162494	1	p
LRRC38	1	p
ENSG00000182795	1	q
C1orf116	1	q
ENSG00000116661	1	p
FBXO2	1	p
ENSG00000179085	1	q
DPM3	1	q
ENSG00000182866	1	p
LCK	1	p
ENSG00000133059	1	q
DSTYK	1	q
ENSG00000116906	1	q
GNPAT	1	q
ENSG00000243709	1	q
LEFTY1	1	q
ENSG00000158109	1	p
TPRG1L	1	p
ENSG00000050628	1	p
PTGER3	1	p
ENSG00000134250	1	p
NOTCH2	1	p
ENSG00000054523	1	p
KIF1B	1	p
ENSG00000116824	1	p
CD2	1	p
ENSG00000154007	1	p
ASB17	1	p
ENSG00000018625	1	q
ATP1A2	1	q
ENSG00000168264	1	q
IRF2BP2	1	q
ENSG00000135842	1	q
NIBAN1	1	q
ENSG00000130764	1	p
LRRC47	1	p
ENSG00000157131	1	p
C8A	1	p
ENSG00000155816	1	q
FMN2	1	q
ENSG00000143322	1	q
ABL2	1	q
ENSG00000241563	1	p
CORT	1	p
ENSG00000143390	1	q
RFX5	1	q
ENSG00000180198	1	p
RCC1	1	p
ENSG00000168118	1	q
RAB4A	1	q
ENSG00000143278	1	q
F13B	1	q
ENSG00000107404	1	p
DVL1	1	p
ENSG00000162664	1	p
ZNF326	1	p
ENSG00000117335	1	q
CD46	1	q
ENSG00000180875	1	q
GREM2	1	q
ENSG00000162896	1	q
PIGR	1	q
ENSG00000123836	1	q
PFKFB2	1	q
ENSG00000134376	1	q
CRB1	1	q
ENSG00000084072	1	p
PPIE	1	p
ENSG00000185860	1	q
CCDC190	1	q
ENSG00000182749	1	p
PAQR7	1	p
ENSG00000142615	1	p
CELA2A	1	p
ENSG00000143344	1	q
RGL1	1	q
ENSG00000162769	1	q
FLVCR1	1	q
ENSG00000186205	1	q
MTARC1	1	q
ENSG00000049089	1	p
COL9A2	1	p
ENSG00000053371	1	p
AKR7A2	1	p
ENSG00000174827	1	q
PDZK1	1	q
ENSG00000126091	1	p
ST3GAL3	1	p
ENSG00000168159	1	q
RNF187	1	q
ENSG00000153207	1	q
AHCTF1	1	q
ENSG00000203985	1	p
LDLRAD1	1	p
ENSG00000027644	1	q
INSRR	1	q
ENSG00000131238	1	p
PPT1	1	p
ENSG00000188092	1	q
GPR89B	1	q
ENSG00000171612	1	p
SLC25A33	1	p
ENSG00000184007	1	p
PTP4A2	1	p
ENSG00000152092	1	q
ASTN1	1	q
ENSG00000119535	1	p
CSF3R	1	p
ENSG00000213085	1	q
CFAP45	1	q
ENSG00000081019	1	p
RSBN1	1	p
ENSG00000162545	1	p
CAMK2N1	1	p
ENSG00000135835	1	q
KIAA1614	1	q
ENSG00000134744	1	p
TUT4	1	p
ENSG00000132485	1	p
ZRANB2	1	p
ENSG00000158764	1	q
ITLN2	1	q
ENSG00000117408	1	p
IPO13	1	p
ENSG00000116497	1	p
S100PBP	1	p
ENSG00000143612	1	q
LTAP1	1	q
ENSG00000143437	1	q
ARNT	1	q
ENSG00000117410	1	p
ATP6V0B	1	p
ENSG00000131788	1	q
PIAS3	1	q
ENSG00000143811	1	q
PYCR2	1	q
ENSG00000178028	1	p
DMAP1	1	p
ENSG00000162836	1	q
ACP6	1	q
ENSG00000117592	1	q
PRDX6	1	q
ENSG00000058453	1	p
CROCC	1	p
ENSG00000042781	1	q
USH2A	1	q
ENSG00000143158	1	q
MPC2	1	q
ENSG00000126070	1	p
AGO3	1	p
ENSG00000131686	1	p
CA6	1	p
ENSG00000173614	1	p
NMNAT1	1	p
ENSG00000066185	1	p
ZMYND12	1	p
ENSG00000116922	1	p
AIRIM	1	p
ENSG00000143595	1	q
AQP10	1	q
ENSG00000084636	1	p
COL16A1	1	p
ENSG00000163393	1	p
SLC22A15	1	p
ENSG00000143337	1	q
TOR1AIP1	1	q
ENSG00000198520	1	p
ARMH1	1	p
ENSG00000134215	1	p
VAV3	1	p
ENSG00000196240	1	q
OR2T2	1	q
ENSG00000173728	1	q
SPMIP3	1	q
ENSG00000142687	1	p
KIAA0319L	1	p
ENSG00000169291	1	q
SHE	1	q
ENSG00000183726	1	p
TMEM50A	1	p
ENSG00000286106	1	p
NOTCH2NLR	1	p
ENSG00000025800	1	p
KPNA6	1	p
ENSG00000116863	1	p
ADPRS	1	p
ENSG00000117859	1	p
OSBPL9	1	p
ENSG00000117533	1	q
VAMP4	1	q
ENSG00000184599	1	p
TAFA3	1	p
ENSG00000130695	1	p
CEP85	1	p
ENSG00000009780	1	p
FAM76A	1	p
ENSG00000213366	1	p
GSTM2	1	p
ENSG00000173846	1	p
PLK3	1	p
ENSG00000117501	1	q
MROH9	1	q
ENSG00000143498	1	q
TAF1A	1	q
ENSG00000213516	1	p
RBMXL1	1	p
ENSG00000168509	1	q
HJV	1	q
ENSG00000069248	1	q
NUP133	1	q
ENSG00000117691	1	q
NENF	1	q
ENSG00000154222	1	p
CC2D1B	1	p
ENSG00000163565	1	q
IFI16	1	q
ENSG00000119285	1	q
HEATR1	1	q
ENSG00000142784	1	p
WDTC1	1	p
ENSG00000163159	1	q
VPS72	1	q
ENSG00000117461	1	p
PIK3R3	1	p
ENSG00000127472	1	p
PLA2G5	1	p
ENSG00000163155	1	q
LYSMD1	1	q
ENSG00000197769	1	q
MAP1LC3C	1	q
ENSG00000171824	1	p
EXOSC10	1	p
ENSG00000177807	1	q
KCNJ10	1	q
ENSG00000198400	1	q
NTRK1	1	q
ENSG00000117226	1	p
GBP3	1	p
ENSG00000133067	1	q
LGR6	1	q
ENSG00000143217	1	q
NECTIN4	1	q
ENSG00000117322	1	q
CR2	1	q
ENSG00000186517	1	q
ARHGAP30	1	q
ENSG00000162636	1	p
EEIG2	1	p
ENSG00000154511	1	p
DIPK1A	1	p
ENSG00000117010	1	p
ZNF684	1	p
ENSG00000143369	1	q
ECM1	1	q
ENSG00000162571	1	p
TTLL10	1	p
ENSG00000198799	1	p
LRIG2	1	p
ENSG00000143224	1	q
PPOX	1	q
ENSG00000054118	1	p
THRAP3	1	p
ENSG00000027869	1	q
SH2D2A	1	q
ENSG00000184371	1	p
CSF1	1	p
ENSG00000142765	1	p
SYTL1	1	p
ENSG00000179639	1	q
FCER1A	1	q
ENSG00000143320	1	q
CRABP2	1	q
ENSG00000117834	1	p
SLC5A9	1	p
ENSG00000162817	1	q
C1orf115	1	q
ENSG00000263528	1	q
IKBKE	1	q
ENSG00000263961	1	q
RHEX	1	q
ENSG00000143457	1	q
GOLPH3L	1	q
ENSG00000142751	1	p
GPN2	1	p
ENSG00000143858	1	q
SYT2	1	q
ENSG00000174021	1	p
GNG5	1	p
ENSG00000117595	1	q
IRF6	1	q
ENSG00000077254	1	p
USP33	1	p
ENSG00000174332	1	p
GLIS1	1	p
ENSG00000163431	1	q
LMOD1	1	q
ENSG00000131236	1	p
CAP1	1	p
ENSG00000123080	1	p
CDKN2C	1	p
ENSG00000198952	1	q
SMG5	1	q
ENSG00000163382	1	q
NAXE	1	q
ENSG00000257315	1	q
ZBED6	1	q
ENSG00000214114	1	p
MYCBP	1	p
ENSG00000132185	1	q
FCRLA	1	q
ENSG00000157211	1	p
CDCP2	1	p
ENSG00000198892	1	q
SHISA4	1	q
ENSG00000057252	1	q
SOAT1	1	q
ENSG00000170382	1	q
LRRN2	1	q
ENSG00000160781	1	q
PAQR6	1	q
ENSG00000116785	1	q
CFHR3	1	q
ENSG00000137968	1	p
SLC44A5	1	p
ENSG00000186118	1	p
TEX38	1	p
ENSG00000116871	1	p
MAP7D1	1	p
ENSG00000179546	1	p
HTR1D	1	p
ENSG00000162604	1	p
TM2D1	1	p
ENSG00000162729	1	q
IGSF8	1	q
ENSG00000137936	1	p
BCAR3	1	p
ENSG00000178585	1	p
CTNNBIP1	1	p
ENSG00000117479	1	q
SLC19A2	1	q
ENSG00000162931	1	q
TRIM17	1	q
ENSG00000134216	1	p
CHIA	1	p
ENSG00000158481	1	q
CD1C	1	q
ENSG00000203697	1	q
CAPN8	1	q
ENSG00000186364	1	q
NUDT17	1	q
ENSG00000157184	1	p
CPT2	1	p
ENSG00000184330	1	q
S100A7A	1	q
ENSG00000143512	1	q
HHIPL2	1	q
ENSG00000213625	1	p
LEPROT	1	p
ENSG00000196449	1	p
YRDC	1	p
ENSG00000116147	1	q
TNR	1	q
ENSG00000204160	1	p
ZDHHC18	1	p
ENSG00000117114	1	p
ADGRL2	1	p
ENSG00000149527	1	p
PLCH2	1	p
ENSG00000143367	1	q
TUFT1	1	q
ENSG00000117862	1	p
TXNDC12	1	p
ENSG00000171357	1	p
LURAP1	1	p
ENSG00000186063	1	q
AIDA	1	q
ENSG00000143622	1	q
RIT1	1	q
ENSG00000265808	1	p
SEC22B	1	p
ENSG00000173369	1	p
C1QB	1	p
ENSG00000235098	1	p
ANKRD65	1	p
ENSG00000268043	1	q
NBPF12	1	q
ENSG00000170075	1	q
GPR37L1	1	q
ENSG00000183615	1	p
FAM167B	1	p
ENSG00000142920	1	p
AZIN2	1	p
ENSG00000085552	1	q
IGSF9	1	q
ENSG00000143207	1	q
COP1	1	q
ENSG00000143614	1	q
GATAD2B	1	q
ENSG00000142961	1	p
MOB3C	1	p
ENSG00000151414	1	q
NEK7	1	q
ENSG00000130768	1	p
SMPDL3B	1	p
ENSG00000162409	1	p
PRKAA2	1	p
ENSG00000187048	1	p
CYP4A11	1	p
ENSG00000069702	1	p
TGFBR3	1	p
ENSG00000116703	1	q
PDC	1	q
ENSG00000116299	1	p
ELAPOR1	1	p
ENSG00000171806	1	q
METTL18	1	q
ENSG00000132704	1	q
FCRL2	1	q
ENSG00000188807	1	p
TMEM201	1	p
ENSG00000116521	1	q
SCAMP3	1	q
ENSG00000143106	1	p
PSMA5	1	p
ENSG00000127423	1	p
AUNIP	1	p
ENSG00000160051	1	p
IQCC	1	p
ENSG00000160688	1	q
FLAD1	1	q
ENSG00000116396	1	p
KCNC4	1	p
ENSG00000186141	1	q
POLR3C	1	q
ENSG00000074964	1	p
ARHGEF10L	1	p
ENSG00000116459	1	p
ATP5PB	1	p
ENSG00000162396	1	p
PARS2	1	p
ENSG00000085491	1	p
SLC25A24	1	p
ENSG00000117597	1	q
UTP25	1	q
ENSG00000162894	1	q
FCMR	1	q
ENSG00000126705	1	p
AHDC1	1	p
ENSG00000143799	1	q
PARP1	1	q
ENSG00000081985	1	p
IL12RB2	1	p
ENSG00000143374	1	q
TARS2	1	q
ENSG00000078808	1	p
SDF4	1	p
ENSG00000132698	1	q
RAB25	1	q
ENSG00000162373	1	p
BEND5	1	p
ENSG00000162852	1	q
CNST	1	q
ENSG00000276600	1	q
RAB7B	1	q
ENSG00000116791	1	p
CRYZ	1	p
ENSG00000117601	1	q
SERPINC1	1	q
ENSG00000143545	1	q
RAB13	1	q
ENSG00000221978	1	p
CCNL2	1	p
ENSG00000162490	1	p
DRAXIN	1	p
ENSG00000143297	1	q
FCRL5	1	q
ENSG00000137960	1	p
GIPC2	1	p
ENSG00000152104	1	q
PTPN14	1	q
ENSG00000116833	1	q
NR5A2	1	q
ENSG00000162753	1	q
SLC9C2	1	q
ENSG00000187634	1	p
SAMD11	1	p
ENSG00000188257	1	p
PLA2G2A	1	p
ENSG00000170989	1	p
S1PR1	1	p
ENSG00000182118	1	q
FAM89A	1	q
ENSG00000162739	1	q
SLAMF6	1	q
ENSG00000126106	1	p
TMEM53	1	p
ENSG00000162613	1	p
FUBP1	1	p
ENSG00000196189	1	q
SEMA4A	1	q
ENSG00000187801	1	p
ZFP69B	1	p
ENSG00000134716	1	p
CYP2J2	1	p
ENSG00000122406	1	p
RPL5	1	p
ENSG00000185420	1	q
SMYD3	1	q
ENSG00000067533	1	q
RRP15	1	q
ENSG00000162522	1	p
NHSL3	1	p
ENSG00000130762	1	p
ARHGEF16	1	p
ENSG00000134717	1	p
BTF3L4	1	p
ENSG00000187815	1	p
ZFP69	1	p
ENSG00000213047	1	q
DENND1B	1	q
ENSG00000185278	1	q
ZBTB37	1	q
ENSG00000143303	1	q
METTL25B	1	q
ENSG00000160838	1	q
LRRC71	1	q
ENSG00000142684	1	p
ZNF593	1	p
ENSG00000134186	1	p
PRPF38B	1	p
ENSG00000158769	1	q
F11R	1	q
ENSG00000117707	1	q
PROX1	1	q
ENSG00000162695	1	p
SLC30A7	1	p
ENSG00000158488	1	q
CD1E	1	q
ENSG00000117616	1	p
RSRP1	1	p
ENSG00000117481	1	p
NSUN4	1	p
ENSG00000117385	1	p
P3H1	1	p
ENSG00000136634	1	q
IL10	1	q
ENSG00000185499	1	q
MUC1	1	q
ENSG00000168710	1	p
AHCYL1	1	p
ENSG00000162599	1	p
NFIA	1	p
ENSG00000117036	1	q
ETV3	1	q
ENSG00000163209	1	q
SPRR3	1	q
ENSG00000142657	1	p
PGD	1	p
ENSG00000117419	1	p
ERI3	1	p
ENSG00000023572	1	q
GLRX2	1	q
ENSG00000010932	1	q
FMO1	1	q
ENSG00000116133	1	p
DHCR24	1	p
ENSG00000143028	1	p
SYPL2	1	p
ENSG00000175137	1	q
SH3BP5L	1	q
ENSG00000092607	1	p
TBX15	1	p
ENSG00000132855	1	p
ANGPTL3	1	p
ENSG00000263513	1	q
FAM72C	1	q
ENSG00000162704	1	q
ARPC5	1	q
ENSG00000055732	1	p
MCOLN3	1	p
ENSG00000177301	1	p
KCNA2	1	p
ENSG00000127125	1	p
PPCS	1	p
ENSG00000116678	1	p
LEPR	1	p
ENSG00000143624	1	q
INTS3	1	q
ENSG00000135837	1	q
CEP350	1	q
ENSG00000143185	1	q
XCL2	1	q
ENSG00000162873	1	q
KLHDC8A	1	q
ENSG00000048707	1	p
VPS13D	1	p
ENSG00000188529	1	p
SRSF10	1	p
ENSG00000171163	1	q
ZNF692	1	q
ENSG00000117020	1	q
AKT3	1	q
ENSG00000163125	1	q
RPRD2	1	q
ENSG00000159352	1	q
PSMD4	1	q
ENSG00000116586	1	q
LAMTOR2	1	q
ENSG00000127463	1	p
EMC1	1	p
ENSG00000134242	1	p
PTPN22	1	p
ENSG00000116560	1	p
SFPQ	1	p
ENSG00000188610	1	p
FAM72B	1	p
ENSG00000116478	1	p
HDAC1	1	p
ENSG00000204624	1	p
DISP3	1	p
ENSG00000004487	1	p
KDM1A	1	p
ENSG00000163472	1	q
TMEM79	1	q
ENSG00000243710	1	p
CFAP57	1	p
ENSG00000143199	1	q
ADCY10	1	q
ENSG00000171793	1	p
CTPS1	1	p
ENSG00000158615	1	q
PPP1R15B	1	q
ENSG00000014914	1	q
MTMR11	1	q
ENSG00000142655	1	p
PEX14	1	p
ENSG00000171680	1	p
PLEKHG5	1	p
ENSG00000143458	1	q
GABPB2	1	q
ENSG00000162747	1	q
FCGR3B	1	q
ENSG00000121769	1	p
FABP3	1	p
ENSG00000162511	1	p
LAPTM5	1	p
ENSG00000067704	1	q
IARS2	1	q
ENSG00000253304	1	p
TMEM200B	1	p
ENSG00000264343	1	q
NOTCH2NLA	1	q
ENSG00000143776	1	q
CDC42BPA	1	q
ENSG00000143603	1	q
KCNN3	1	q
ENSG00000136643	1	q
RPS6KC1	1	q
ENSG00000073754	1	q
CD5L	1	q
ENSG00000157916	1	p
RER1	1	p
ENSG00000117298	1	p
ECE1	1	p
ENSG00000076321	1	q
KLHL20	1	q
ENSG00000066135	1	p
KDM4A	1	p
ENSG00000120942	1	p
UBIAD1	1	p
ENSG00000162692	1	p
VCAM1	1	p
ENSG00000153936	1	p
HS2ST1	1	p
ENSG00000119280	1	q
C1orf198	1	q
ENSG00000152078	1	p
TLCD4	1	p
ENSG00000175984	1	p
DENND2C	1	p
ENSG00000117505	1	p
DR1	1	p
ENSG00000163191	1	q
S100A11	1	q
ENSG00000186377	1	p
CYP4X1	1	p
ENSG00000163879	1	p
DNALI1	1	p
ENSG00000081237	1	q
PTPRC	1	q
ENSG00000023902	1	q
PLEKHO1	1	q
ENSG00000164002	1	p
EXO5	1	p
ENSG00000117228	1	p
GBP1	1	p
ENSG00000117091	1	q
CD48	1	q
ENSG00000133065	1	q
SLC41A1	1	q
ENSG00000162438	1	p
CTRC	1	p
ENSG00000159176	1	q
CSRP1	1	q
ENSG00000160710	1	q
ADAR	1	q
ENSG00000085998	1	p
POMGNT1	1	p
ENSG00000152904	1	q
GGPS1	1	q
ENSG00000134240	1	p
HMGCS2	1	p
ENSG00000163444	1	q
TMEM183A	1	q
ENSG00000158859	1	q
ADAMTS4	1	q
ENSG00000196660	1	q
SLC30A10	1	q
ENSG00000143001	1	p
TMEM61	1	p
ENSG00000143514	1	q
TP53BP2	1	q
ENSG00000092847	1	p
AGO1	1	p
ENSG00000159479	1	p
MED8	1	p
ENSG00000173409	1	q
ARV1	1	q
ENSG00000187733	1	p
AMY1C	1	p
ENSG00000174606	1	q
ANGEL2	1	q
ENSG00000203668	1	q
CHML	1	q
ENSG00000092969	1	q
TGFB2	1	q
ENSG00000034971	1	q
MYOC	1	q
ENSG00000159339	1	p
PADI4	1	p
ENSG00000127603	1	p
MACF1	1	p
ENSG00000143093	1	p
STRIP1	1	p
ENSG00000116350	1	p
SRSF4	1	p
ENSG00000248333	1	p
CDK11B	1	p
ENSG00000178096	1	q
BOLA1	1	q
ENSG00000152763	1	p
DNAI4	1	p
ENSG00000132122	1	p
SPATA6	1	p
ENSG00000116754	1	p
SRSF11	1	p
ENSG00000159377	1	q
PSMB4	1	q
ENSG00000054392	1	q
HHAT	1	q
ENSG00000132703	1	q
APCS	1	q
ENSG00000281406	1	q
BLACAT1	1	q
ENSG00000162517	1	p
PEF1	1	p
ENSG00000121851	1	q
POLR3GL	1	q
ENSG00000131781	1	q
FMO5	1	q
ENSG00000116212	1	p
LRRC42	1	p
ENSG00000170385	1	q
SLC30A1	1	q
ENSG00000134184	1	p
GSTM1	1	p
ENSG00000143536	1	q
CRNN	1	q
ENSG00000072694	1	q
FCGR2B	1	q
ENSG00000282608	1	p
ADORA3	1	p
ENSG00000158485	1	q
CD1B	1	q
ENSG00000162368	1	p
CMPK1	1	p
ENSG00000021852	1	p
C8B	1	p
ENSG00000122417	1	p
ODF2L	1	p
ENSG00000135824	1	q
RGS8	1	q
ENSG00000162782	1	q
TDRD5	1	q
ENSG00000183831	1	q
ANKRD45	1	q
ENSG00000142733	1	p
MAP3K6	1	p
ENSG00000204219	1	p
TCEA3	1	p
ENSG00000143409	1	q
MINDY1	1	q
ENSG00000122223	1	q
CD244	1	q
ENSG00000127481	1	p
UBR4	1	p
ENSG00000143556	1	q
S100A7	1	q
ENSG00000162543	1	p
UBXN10	1	p
ENSG00000198797	1	q
BRINP2	1	q
ENSG00000188672	1	p
RHCE	1	p
ENSG00000187513	1	p
GJA4	1	p
ENSG00000158864	1	q
NDUFS2	1	q
ENSG00000215717	1	p
TMEM167B	1	p
ENSG00000116918	1	q
TSNAX	1	q
ENSG00000142949	1	p
PTPRF	1	p
ENSG00000169403	1	p
PTAFR	1	p
ENSG00000159592	1	p
GPBP1L1	1	p
ENSG00000188822	1	p
CNR2	1	p
ENSG00000160050	1	p
CCDC28B	1	p
ENSG00000122435	1	p
TRMT13	1	p
ENSG00000284770	1	q
TBCE	1	q
ENSG00000174151	1	p
CYB561D1	1	p
ENSG00000177535	1	q
OR2B11	1	q
ENSG00000162461	1	p
SLC25A34	1	p
ENSG00000185090	1	p
MANEAL	1	p
ENSG00000163468	1	q
CCT3	1	q
ENSG00000180098	1	p
